Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
0.00,1.00,0.00,0.00,1.00,51.08,58.73,12.85,13.42,0.00
1.00,0.00,0.00,1.00,0.00,64.54,0.00,10.77,18.97,0.00
0.00,1.00,0.00,1.00,0.00,75.67,67.79,16.06,18.97,1.00
0.00,0.00,0.00,0.00,0.00,56.57,47.48,11.22,13.42,0.00
0.00,1.00,1.00,1.00,0.00,103.68,0.00,17.66,18.97,1.00
0.00,1.00,1.73,0.00,1.00,84.26,0.00,11.18,7.75,1.00
1.00,0.00,0.00,1.00,0.00,65.57,0.00,11.66,18.97,0.00
0.00,1.00,0.00,1.00,0.00,56.64,55.37,13.11,18.97,1.00
0.00,1.00,1.41,0.00,1.00,43.30,43.30,9.85,18.97,1.00
0.00,0.00,0.00,1.00,0.00,59.16,0.00,9.00,17.32,1.00
0.00,1.00,1.73,0.00,0.00,68.96,0.00,9.75,17.32,0.00
0.00,1.00,1.73,1.00,1.00,72.57,42.12,13.67,18.97,1.00
0.00,0.00,0.00,1.00,0.00,61.24,0.00,10.63,21.91,1.00
0.00,0.00,0.00,1.00,0.00,61.24,68.92,13.27,18.97,1.00
0.00,1.00,1.00,1.00,1.00,31.62,54.97,10.49,18.97,1.00
0.00,1.00,1.73,1.00,0.00,56.28,63.25,13.42,17.32,0.00
0.00,1.00,1.73,0.00,1.00,57.73,46.54,11.40,18.97,0.00
1.00,0.00,0.00,1.00,0.00,62.02,0.00,10.54,18.97,1.00
1.00,1.00,1.41,1.00,0.00,37.12,43.37,12.92,18.97,1.00
0.00,1.00,0.00,1.00,0.00,77.46,47.43,16.28,18.97,0.00
0.00,1.00,1.00,1.00,0.00,63.15,0.00,7.07,15.49,1.00
0.00,0.00,0.00,1.00,0.00,48.64,50.31,11.66,18.97,1.00
0.00,1.00,1.41,0.00,0.00,57.73,44.72,9.95,18.97,0.00
0.00,1.00,0.00,1.00,0.00,50.00,46.02,10.20,18.97,1.00
0.00,0.00,0.00,1.00,0.00,92.55,0.00,14.49,18.97,1.00
0.00,1.00,0.00,1.00,0.00,75.47,64.55,13.23,18.97,1.00
0.00,1.00,0.00,1.00,0.00,54.39,53.85,11.45,18.97,1.00
0.00,1.00,1.41,1.00,0.00,79.06,75.19,13.71,13.42,1.00
0.00,1.00,1.41,0.00,0.00,57.21,42.66,9.00,18.97,1.00
0.00,0.00,0.00,1.00,0.00,64.29,0.00,11.05,18.97,1.00
0.00,0.00,0.00,0.00,0.00,60.17,0.00,5.00,10.95,1.00
1.00,1.00,0.00,1.00,0.00,49.84,47.98,11.70,18.97,1.00
0.00,1.00,0.00,1.00,0.00,44.46,31.58,7.07,18.97,1.00
0.00,1.00,0.00,0.00,0.00,64.71,0.00,10.72,13.42,1.00
0.00,1.00,0.00,1.00,0.00,41.94,59.51,11.45,18.97,1.00
0.00,1.00,1.41,0.00,0.00,65.48,57.12,11.53,13.42,1.00
0.00,0.00,0.00,1.00,0.00,69.59,61.69,12.29,18.97,1.00
0.00,0.00,0.00,1.00,0.00,61.77,27.46,12.65,18.97,1.00
0.00,1.00,1.00,1.00,0.00,55.24,32.09,10.00,18.97,1.00
0.00,1.00,1.41,1.00,0.00,106.85,33.56,15.00,18.97,1.00
0.00,0.00,0.00,0.00,0.00,85.63,0.00,10.95,18.97,1.00
0.00,1.00,1.41,1.00,0.00,61.64,60.00,14.70,18.97,0.00
0.00,1.00,1.73,0.00,0.00,45.51,27.46,9.70,21.91,1.00
0.00,0.00,0.00,1.00,0.00,72.91,0.00,11.66,18.97,1.00
1.00,1.00,0.00,1.00,0.00,54.12,48.30,11.79,18.97,1.00
0.00,1.00,0.00,0.00,0.00,59.77,64.14,12.33,18.97,0.00
0.00,0.00,0.00,1.00,0.00,71.06,0.00,10.86,18.97,1.00
0.00,1.00,1.00,1.00,0.00,120.76,0.00,13.60,13.42,1.00
1.00,1.00,0.00,1.00,0.00,56.28,47.78,12.41,18.97,1.00
0.00,1.00,1.00,1.00,0.00,47.05,37.39,9.22,18.97,0.00
0.00,1.00,0.00,1.00,0.00,74.62,46.28,13.23,18.97,1.00
1.00,0.00,0.00,1.00,0.00,102.02,0.00,16.09,18.97,1.00
0.00,1.00,0.00,1.00,0.00,75.28,51.64,13.42,18.97,1.00
1.00,0.00,0.00,1.00,0.00,64.54,0.00,6.63,18.97,1.00
1.00,0.00,0.00,1.00,0.00,46.23,94.76,11.70,18.97,0.00
0.00,1.00,1.41,1.00,0.00,54.38,0.00,9.00,18.97,1.00
0.00,1.00,0.00,0.00,0.00,65.57,44.88,13.93,18.97,1.00
1.00,0.00,0.00,1.00,0.00,60.76,0.00,9.64,18.97,0.00
1.00,1.00,1.73,1.00,0.00,154.28,0.00,19.24,18.97,1.00
0.00,1.00,1.00,1.00,1.00,102.53,62.05,12.65,13.42,0.00
0.00,1.00,0.00,1.00,0.00,77.97,50.69,13.49,18.97,0.00
0.00,0.00,0.00,1.00,1.00,142.01,0.00,25.50,21.91,0.00
0.00,0.00,0.00,1.00,0.00,44.88,43.92,8.60,18.97,1.00
0.00,0.00,0.00,1.00,0.00,52.13,0.00,8.37,18.97,1.00
0.00,1.00,0.00,1.00,1.00,58.81,0.00,5.00,10.95,1.00
0.00,0.00,0.00,1.00,0.00,69.96,0.00,10.10,18.97,1.00
0.00,1.00,1.73,1.00,0.00,63.25,88.03,17.03,18.97,1.00
1.00,1.00,0.00,1.00,0.00,67.70,0.00,9.17,18.97,1.00
0.00,1.00,1.41,1.00,1.00,57.58,59.16,9.38,18.97,1.00
0.00,0.00,0.00,1.00,0.00,122.47,0.00,15.56,18.97,0.00
0.00,1.00,1.41,0.00,0.00,64.81,37.82,11.36,18.97,1.00
0.00,1.00,1.41,1.00,0.00,71.01,45.64,13.60,18.97,1.00
0.00,0.00,0.00,1.00,0.00,73.60,0.00,12.96,18.97,1.00
0.00,0.00,0.00,1.00,1.00,83.37,0.00,13.23,13.42,1.00
0.00,1.00,0.00,1.00,0.00,51.94,45.10,11.05,18.97,1.00
0.00,1.00,1.41,1.00,0.00,108.43,0.00,13.67,13.42,1.00
1.00,1.00,0.00,1.00,0.00,48.27,66.98,10.00,18.97,1.00
1.00,1.00,1.41,1.00,0.00,121.93,0.00,8.37,18.97,1.00
0.00,1.00,1.00,1.00,0.00,39.22,37.75,5.48,18.97,1.00
1.00,0.00,0.00,1.00,0.00,100.00,40.82,15.00,18.97,1.00
0.00,1.00,0.00,1.00,0.00,69.71,28.81,11.18,18.97,1.00
0.00,0.00,0.00,1.00,0.00,79.23,0.00,10.86,18.97,0.00
0.00,1.00,0.00,1.00,1.00,50.76,61.24,12.33,18.97,1.00
0.00,0.00,0.00,1.00,0.00,95.74,0.00,15.62,18.97,1.00
0.00,1.00,1.41,0.00,0.00,47.76,0.00,10.63,18.97,1.00
0.00,0.00,0.00,1.00,0.00,57.04,0.00,7.07,18.97,1.00
0.00,1.00,1.73,1.00,0.00,200.00,0.00,24.49,13.42,0.00
0.00,1.00,1.00,1.00,0.00,77.46,0.00,12.65,18.97,0.00
0.00,1.00,1.00,1.00,0.00,97.66,0.00,13.67,18.97,1.00
0.00,0.00,0.00,1.00,0.00,54.59,45.64,10.95,18.97,1.00
0.00,1.00,0.00,1.00,0.00,67.70,75.00,15.97,18.97,1.00
0.00,1.00,0.00,0.00,0.00,43.16,32.26,9.90,18.97,1.00
0.00,1.00,0.00,1.00,0.00,89.07,0.00,16.58,18.97,1.00
0.00,1.00,1.00,1.00,0.00,55.58,35.78,11.00,18.97,0.00
0.00,1.00,1.41,1.00,0.00,64.55,38.04,12.57,18.97,1.00
0.00,1.00,0.00,1.00,0.00,96.56,0.00,8.66,13.42,1.00
0.00,1.00,0.00,1.00,0.00,60.89,56.27,13.49,18.97,1.00
1.00,1.00,0.00,1.00,0.00,67.70,0.00,10.58,18.97,1.00
0.00,1.00,0.00,1.00,0.00,49.39,57.73,11.36,18.97,1.00
0.00,0.00,0.00,1.00,0.00,47.30,0.00,7.94,21.91,0.00
0.00,1.00,1.41,1.00,0.00,89.44,0.00,14.14,18.97,1.00
0.00,1.00,0.00,0.00,0.00,42.66,42.06,9.75,18.97,1.00
0.00,1.00,1.73,1.00,0.00,227.51,0.00,26.46,17.32,1.00
0.00,1.00,1.73,0.00,0.00,59.35,0.00,9.00,13.42,1.00
0.00,1.00,0.00,1.00,0.00,75.55,75.00,13.67,18.97,1.00
0.00,1.00,0.00,0.00,1.00,65.91,27.13,9.33,18.97,1.00
0.00,1.00,0.00,1.00,0.00,59.14,44.32,10.77,18.97,1.00
0.00,1.00,1.41,1.00,0.00,45.22,40.24,10.05,18.97,1.00
0.00,1.00,1.73,1.00,0.00,74.27,106.30,22.25,18.97,0.00
0.00,1.00,1.00,1.00,0.00,61.24,0.00,10.77,18.97,1.00
0.00,0.00,0.00,0.00,0.00,48.30,38.09,10.10,21.91,0.00
0.00,1.00,1.00,1.00,0.00,80.00,85.15,13.42,18.97,0.00
0.00,0.00,0.00,1.00,0.00,43.77,71.15,8.19,18.97,0.00
0.00,1.00,0.00,1.00,0.00,67.82,0.00,8.54,13.42,1.00
0.00,1.00,1.00,1.00,0.00,183.97,0.00,16.12,18.97,1.00
1.00,1.00,0.00,1.00,0.00,60.21,0.00,10.39,18.97,1.00
0.00,1.00,0.00,1.00,1.00,197.86,68.92,10.95,18.97,1.00
0.00,1.00,1.00,1.00,1.00,46.67,0.00,8.12,17.32,0.00
0.00,1.00,0.00,1.00,0.00,48.82,46.24,7.62,18.97,0.00
1.00,1.00,0.00,1.00,1.00,25.96,72.77,12.96,18.97,1.00
0.00,1.00,0.00,1.00,0.00,96.58,0.00,13.71,13.42,1.00
0.00,0.00,0.00,0.00,0.00,69.89,0.00,6.93,18.97,1.00
0.00,0.00,0.00,1.00,0.00,109.54,0.00,12.81,18.97,1.00
0.00,1.00,0.00,0.00,0.00,77.67,0.00,12.65,18.97,1.00
0.00,0.00,0.00,1.00,0.00,62.11,0.00,8.72,18.97,1.00
0.00,0.00,0.00,1.00,0.00,64.74,0.00,10.95,18.97,1.00
0.00,1.00,1.00,1.00,0.00,55.90,50.82,13.04,18.97,1.00
0.00,0.00,0.00,1.00,0.00,91.29,61.24,13.67,18.97,1.00
1.00,0.00,0.00,0.00,0.00,43.67,48.63,10.95,18.97,1.00
1.00,1.00,0.00,1.00,0.00,58.45,53.07,10.63,18.97,0.00
0.00,0.00,0.00,1.00,1.00,104.88,0.00,9.11,18.97,1.00
0.00,1.00,1.00,0.00,0.00,50.99,50.00,9.49,18.97,1.00
0.00,0.00,1.41,1.00,0.00,70.16,0.00,12.88,18.97,0.00
0.00,1.00,1.73,0.00,0.00,63.18,0.00,0.00,13.42,1.00
0.00,1.00,1.00,0.00,0.00,59.16,32.91,11.62,18.97,1.00
0.00,1.00,1.41,0.00,0.00,62.59,0.00,11.14,18.97,1.00
1.00,0.00,0.00,0.00,0.00,66.39,0.00,10.95,18.97,1.00
1.00,0.00,0.00,1.00,0.00,56.96,0.00,8.94,18.97,1.00
0.00,0.00,0.00,0.00,0.00,63.05,50.31,7.42,18.97,1.00
0.00,0.00,0.00,1.00,0.00,49.79,0.00,7.68,18.97,1.00
0.00,0.00,0.00,1.00,0.00,58.46,0.00,11.27,18.97,1.00
1.00,0.00,0.00,1.00,0.00,100.00,0.00,14.63,18.97,1.00
0.00,1.00,1.73,1.00,0.00,58.57,35.36,11.31,18.97,0.00
0.00,1.00,1.00,1.00,1.00,88.24,0.00,15.49,18.97,1.00
0.00,1.00,1.73,0.00,1.00,75.52,0.00,11.40,18.97,1.00
0.00,1.00,0.00,1.00,0.00,56.33,54.96,11.70,18.97,1.00
0.00,1.00,1.73,0.00,0.00,62.05,31.35,10.00,18.97,1.00
0.00,1.00,0.00,1.00,0.00,12.25,42.43,11.62,18.97,1.00
0.00,1.00,0.00,1.00,0.00,61.05,42.13,11.45,18.97,1.00
0.00,1.00,1.41,1.00,0.00,70.71,0.00,8.49,18.97,0.00
1.00,1.00,1.41,1.00,0.00,65.44,48.82,11.27,18.97,0.00
0.00,1.00,0.00,1.00,0.00,47.13,0.00,7.75,18.97,0.00
0.00,1.00,1.41,1.00,0.00,63.32,41.44,10.77,18.97,1.00
0.00,0.00,0.00,1.00,0.00,54.51,52.83,12.00,18.97,1.00
0.00,1.00,0.00,1.00,0.00,87.05,31.78,13.23,18.97,1.00
0.00,1.00,0.00,1.00,0.00,79.06,0.00,11.31,18.97,1.00
0.00,1.00,0.00,1.00,0.00,57.01,0.00,13.04,18.97,1.00
0.00,1.00,0.00,0.00,1.00,68.81,0.00,11.75,18.97,1.00
0.00,1.00,1.41,1.00,0.00,79.06,41.17,14.49,18.97,1.00
0.00,0.00,0.00,1.00,0.00,68.98,0.00,12.57,21.91,1.00
0.00,0.00,0.00,1.00,1.00,80.00,0.00,14.14,18.97,1.00
0.00,1.00,1.00,1.00,0.00,49.91,45.32,10.20,18.97,1.00
0.00,1.00,0.00,1.00,0.00,60.96,0.00,6.48,13.42,1.00
0.00,0.00,0.00,0.00,0.00,56.47,50.97,10.95,18.97,1.00
1.00,0.00,0.00,1.00,0.00,91.29,0.00,16.73,18.97,1.00
0.00,1.00,1.00,1.00,0.00,56.17,42.18,11.83,18.97,1.00
0.00,1.00,1.00,1.00,0.00,74.16,35.50,13.04,18.97,1.00
0.00,1.00,0.00,1.00,0.00,75.80,0.00,15.97,18.97,0.00
1.00,0.00,0.00,1.00,1.00,58.85,0.00,11.05,18.97,0.00
1.00,0.00,1.00,1.00,0.00,61.74,0.00,10.58,18.97,1.00
0.00,1.00,1.00,1.00,0.00,57.58,0.00,9.80,18.97,1.00
0.00,1.00,1.41,1.00,0.00,76.28,70.71,10.95,18.97,1.00
0.00,1.00,1.00,0.00,0.00,50.10,44.53,11.83,13.42,1.00
0.00,0.00,0.00,1.00,0.00,54.45,75.50,12.45,7.75,1.00
0.00,1.00,1.41,1.00,1.00,79.06,36.06,10.39,18.97,1.00
0.00,1.00,0.00,0.00,0.00,58.36,66.46,11.09,18.97,1.00
0.00,0.00,0.00,1.00,1.00,77.78,65.83,10.95,13.42,1.00
0.00,1.00,1.41,1.00,0.00,98.50,0.00,10.58,18.97,1.00
0.00,1.00,1.00,0.00,0.00,81.29,0.00,11.70,13.42,1.00
0.00,1.00,1.00,1.00,0.00,53.68,42.93,11.09,21.91,1.00
0.00,1.00,0.00,1.00,0.00,42.53,43.22,9.49,18.97,1.00
0.00,1.00,0.00,0.00,0.00,40.84,62.37,14.18,18.97,0.00
1.00,0.00,1.41,1.00,0.00,58.54,0.00,11.75,18.97,1.00
0.00,0.00,0.00,0.00,1.00,50.82,46.55,10.20,18.97,1.00
0.00,1.00,1.00,0.00,0.00,51.58,84.27,16.70,13.42,1.00
0.00,0.00,0.00,1.00,1.00,127.48,0.00,13.86,18.97,0.00
1.00,0.00,1.73,1.00,0.00,55.52,0.00,15.97,18.97,1.00
0.00,0.00,0.00,0.00,0.00,77.75,0.00,10.72,18.97,0.00
0.00,1.00,1.73,1.00,0.00,72.46,0.00,9.70,18.97,1.00
0.00,1.00,0.00,1.00,0.00,121.17,45.83,17.44,18.97,1.00
0.00,1.00,1.73,0.00,0.00,70.22,0.00,11.31,18.97,0.00
0.00,1.00,1.00,1.00,0.00,77.99,65.19,18.17,18.97,0.00
0.00,0.00,0.00,1.00,0.00,45.39,47.00,11.58,18.97,1.00
1.00,0.00,1.00,1.00,0.00,59.00,0.00,12.45,6.00,1.00
1.00,0.00,0.00,1.00,0.00,84.85,0.00,10.95,18.97,1.00
0.00,0.00,0.00,1.00,1.00,71.87,0.00,11.31,18.97,1.00
0.00,0.00,0.00,1.00,0.00,63.99,58.71,12.29,18.97,1.00
0.00,1.00,1.41,1.00,0.00,68.61,37.24,12.25,18.97,1.00
0.00,1.00,0.00,1.00,0.00,65.83,42.56,12.65,18.97,0.00
1.00,0.00,0.00,1.00,0.00,58.46,0.00,11.62,18.97,1.00
1.00,0.00,1.00,1.00,0.00,53.63,39.50,9.49,18.97,1.00
1.00,0.00,0.00,1.00,0.00,56.89,0.00,5.48,18.97,1.00
0.00,1.00,0.00,1.00,0.00,105.57,0.00,11.66,18.97,1.00
0.00,0.00,0.00,1.00,0.00,53.23,43.09,11.22,18.97,1.00
0.00,1.00,0.00,1.00,0.00,51.19,47.15,12.25,18.97,1.00
0.00,1.00,1.41,1.00,0.00,62.45,0.00,9.49,18.97,1.00
0.00,1.00,1.00,1.00,0.00,52.44,42.92,10.72,18.97,1.00
0.00,1.00,0.00,1.00,0.00,63.19,57.22,14.39,18.97,1.00
0.00,1.00,0.00,1.00,0.00,55.70,36.06,8.94,18.97,1.00
0.00,1.00,0.00,1.00,0.00,120.76,0.00,20.88,18.97,1.00
1.00,1.00,0.00,0.00,0.00,64.03,0.00,11.14,18.97,0.00
0.00,0.00,1.00,0.00,1.00,63.66,49.25,12.57,18.97,0.00
0.00,1.00,0.00,1.00,0.00,62.67,28.28,10.58,18.97,1.00
0.00,1.00,1.41,1.00,0.00,47.97,31.40,8.83,13.42,1.00
1.00,0.00,0.00,1.00,0.00,42.56,40.82,7.35,18.97,1.00
0.00,1.00,0.00,1.00,0.00,143.76,0.00,0.00,18.97,1.00
0.00,0.00,0.00,1.00,0.00,56.20,55.25,9.43,18.97,1.00
1.00,0.00,0.00,1.00,1.00,50.99,41.44,9.95,17.32,1.00
0.00,1.00,0.00,1.00,0.00,60.86,44.72,10.95,18.97,1.00
1.00,0.00,0.00,1.00,0.00,64.22,0.00,10.72,18.97,1.00
0.00,0.00,0.00,1.00,0.00,97.51,0.00,13.67,18.97,1.00
0.00,1.00,0.00,1.00,0.00,55.45,49.15,11.79,18.97,1.00
0.00,1.00,1.41,1.00,0.00,66.33,0.00,11.27,18.97,0.00
0.00,1.00,1.41,1.00,0.00,56.15,39.50,11.58,18.97,1.00
1.00,0.00,0.00,1.00,0.00,73.60,0.00,11.96,21.91,0.00
0.00,1.00,0.00,1.00,0.00,48.82,57.74,13.11,18.97,1.00
0.00,1.00,1.73,1.00,0.00,66.45,35.36,10.49,18.97,1.00
0.00,1.00,1.00,1.00,0.00,82.92,0.00,14.14,18.97,1.00
1.00,1.00,1.00,1.00,0.00,68.31,0.00,11.62,18.97,1.00
1.00,0.00,0.00,1.00,0.00,70.71,50.41,12.29,21.91,1.00
0.00,1.00,1.00,1.00,0.00,44.88,54.08,10.63,18.97,1.00
0.00,1.00,0.00,0.00,0.00,42.43,54.17,9.64,18.97,0.00
0.00,1.00,1.73,0.00,0.00,53.62,41.83,10.25,18.97,1.00
1.00,0.00,0.00,1.00,0.00,70.71,0.00,11.49,18.97,1.00
0.00,1.00,1.00,1.00,0.00,40.31,42.46,9.80,18.97,1.00
0.00,0.00,0.00,1.00,0.00,63.25,50.00,11.83,18.97,1.00
1.00,0.00,0.00,1.00,0.00,61.34,40.82,11.62,18.97,1.00
1.00,0.00,0.00,1.00,0.00,48.99,43.16,10.20,18.97,0.00
0.00,0.00,0.00,1.00,0.00,142.24,0.00,21.91,18.97,1.00
0.00,1.00,1.41,0.00,0.00,87.56,0.00,13.60,18.97,0.00
1.00,0.00,0.00,1.00,0.00,54.01,0.00,9.17,18.97,1.00
0.00,0.00,0.00,0.00,0.00,54.10,49.04,10.54,18.97,1.00
1.00,0.00,0.00,1.00,0.00,50.07,0.00,7.48,18.97,1.00
0.00,1.00,1.41,1.00,1.00,75.80,0.00,12.00,9.17,0.00
1.00,1.00,0.00,1.00,0.00,49.73,42.93,12.61,18.97,1.00
0.00,1.00,1.00,0.00,0.00,58.30,40.50,10.54,13.42,1.00
0.00,1.00,1.41,1.00,0.00,60.97,0.00,10.95,18.97,1.00
0.00,1.00,0.00,1.00,0.00,45.37,46.20,9.38,18.97,0.00
1.00,0.00,1.00,1.00,0.00,59.51,0.00,10.58,18.97,0.00
0.00,1.00,1.00,1.00,1.00,100.00,0.00,12.45,18.97,1.00
0.00,1.00,0.00,1.00,0.00,48.99,46.55,10.72,18.97,1.00
0.00,1.00,1.73,1.00,0.00,65.89,13.75,11.14,18.97,1.00
1.00,0.00,0.00,1.00,0.00,56.27,54.64,11.49,18.97,0.00
0.00,1.00,1.73,1.00,0.00,122.47,0.00,17.32,18.97,1.00
0.00,1.00,1.00,1.00,1.00,93.09,70.59,19.39,18.97,0.00
0.00,0.00,0.00,1.00,0.00,70.12,0.00,11.40,18.97,0.00
0.00,1.00,0.00,1.00,1.00,76.28,46.48,13.56,18.97,1.00
1.00,1.00,0.00,1.00,0.00,65.83,49.51,10.49,18.97,1.00
1.00,0.00,0.00,1.00,0.00,50.00,0.00,8.19,18.97,1.00
0.00,0.00,1.00,1.00,0.00,66.21,42.34,10.82,18.97,1.00
0.00,0.00,0.00,1.00,0.00,54.18,0.00,9.90,18.97,1.00
0.00,0.00,0.00,1.00,0.00,53.23,0.00,8.43,18.97,1.00
0.00,1.00,0.00,1.00,0.00,251.67,0.00,22.14,13.42,1.00
0.00,1.00,1.00,1.00,1.00,99.16,42.81,13.49,13.42,1.00
0.00,1.00,0.00,1.00,1.00,74.18,67.01,8.37,13.42,1.00
0.00,1.00,1.00,1.00,1.00,72.46,26.23,12.65,18.97,1.00
0.00,1.00,1.41,1.00,1.00,50.00,67.82,13.27,18.97,1.00
1.00,0.00,0.00,1.00,0.00,64.50,0.00,8.43,18.97,1.00
0.00,1.00,1.73,0.00,0.00,51.45,39.84,13.15,18.97,1.00
1.00,0.00,0.00,1.00,0.00,48.76,0.00,6.78,18.97,1.00
0.00,1.00,1.00,0.00,0.00,67.48,35.06,12.57,18.97,1.00
0.00,1.00,1.73,0.00,0.00,56.33,0.00,8.60,18.97,1.00
0.00,1.00,1.41,1.00,0.00,50.82,48.27,11.18,18.97,1.00
0.00,1.00,0.00,1.00,0.00,49.99,49.58,12.65,18.97,1.00
0.00,1.00,0.00,0.00,0.00,59.35,56.83,12.33,18.97,0.00
0.00,1.00,1.41,0.00,0.00,55.52,46.56,11.22,18.97,1.00
0.00,1.00,0.00,1.00,0.00,79.58,67.70,16.09,18.97,0.00
0.00,1.00,0.00,1.00,0.00,51.23,79.06,13.67,18.97,1.00
0.00,1.00,0.00,1.00,0.00,95.30,0.00,15.10,18.97,1.00
0.00,0.00,0.00,1.00,0.00,93.54,64.55,17.55,18.97,1.00
0.00,1.00,1.73,1.00,0.00,51.63,45.64,9.75,18.97,1.00
1.00,1.00,0.00,1.00,1.00,74.16,0.00,10.25,18.97,0.00
1.00,1.00,0.00,1.00,0.00,49.22,22.47,11.40,18.97,1.00
1.00,0.00,0.00,1.00,0.00,61.75,0.00,10.77,13.42,1.00
0.00,1.00,1.41,1.00,0.00,91.29,56.28,12.85,18.97,1.00
0.00,1.00,1.00,1.00,0.00,62.25,0.00,8.19,18.97,1.00
